,name,iou,acc,precision,recall,pos,neg,tp,tn,fp,fn
585,m_3807553_ne_18_1_20170611_inference_,0.4853292301161989,0.9993740186505442,0.9533421345191774,0.49713757744845827,55198,46431810,27441,46430467,1343,27757
586,m_3807554_sw_18_1_20170611_inference_,0.26935498754267784,0.9996590760349139,0.847191989551589,0.28310945152999367,20621,46429619,5838,46428566,1053,14783
587,m_3907549_sw_18_1_20170709_inference_,0.6033781147221138,0.9998470704413966,0.8642606196103482,0.6665435063735452,16239,46508449,10824,46506749,1700,5415
588,m_3807544_nw_18_1_20170611_inference_,0.0,0.9996741846908335,0.0,,0,46569328,0,46554155,15173,0
589,m_3907657_sw_18_1_20170716_inference_,0.0,0.998986555801113,0.0,,0,47453032,0,47404941,48091,0
590,m_3807605_nw_18_1_20170611_inference_,0.0,0.9997868299982938,0.0,,0,47075104,0,47065069,10035,0
591,m_3907663_ne_18_1_20170611_inference_,,1.0,,,0,46652848,0,46652848,0,0
592,m_3807527_nw_18_1_20170611_inference_,0.6673592805086059,0.9990792601942361,0.9375959915037307,0.6983797291705544,123251,46474061,86076,46468332,5729,37175
593,m_3807612_sw_18_1_20170626_inference_,0.0,0.9999620262328535,0.0,,0,47295808,0,47294012,1796,0
594,m_3907633_ne_18_1_20170609_inference_,0.0,0.9982087342445516,0.0,,0,47176696,0,47092190,84506,0
595,m_3807631_ne_18_1_20170709_inference_,0.0,0.9998903626908733,,0.0,5145,46922311,0,46922311,0,5145
596,m_3807558_ne_18_1_20170611_inference_,0.8463329452852154,0.9999859188152279,0.9583443184814131,0.8786560309402949,4137,46866919,3635,46866761,158,502
597,m_3807635_se_18_1_20170626_inference_,0.0,0.9997175619618942,0.0,,0,47571496,0,47558060,13436,0
598,m_3907626_nw_18_1_20170609_inference_,0.0,0.999775823641413,0.0,,0,47047780,0,47037233,10547,0
599,m_3907643_ne_18_1_20170611_inference_,0.0,0.9990129621633017,0.0,,0,47056960,0,47010513,46447,0
600,m_3807533_se_18_1_20170611_inference_,0.0,0.99881537182071,0.0,,0,46807936,0,46752486,55450,0
601,m_3907631_nw_18_1_20170611_inference_,0.0,0.9999756782768959,0.0,,0,46460524,0,46459394,1130,0
602,m_3807607_sw_18_1_20170611_inference_,,1.0,,,0,46872760,0,46872760,0,0
603,m_3807740_se_18_1_20170716_inference_,,1.0,,,0,47904952,0,47904952,0,0
604,m_3807622_sw_18_1_20170730_inference_,0.0,0.9999654088424257,0.0,,0,47092960,0,47091331,1629,0
