,name,iou,acc,precision,recall,pos,neg,tp,tn,fp,fn
100,m_3907517_nw_18_1_20170709,0.01710408795723728,0.017454725901103623,0.01715353668729609,0.8557691474426746,923152,45281412,790005,16483,45264929,133147
101,m_3907650_nw_18_1_20170716,0.027925777264939326,0.036163550480689914,0.028554945469510717,0.5589696992728731,2341957,44935923,1309083,400653,44535270,1032874
102,m_3807630_ne_18_1_20170730,0.0009018078781537365,0.0010226395241287431,0.0009019489120263795,0.8522305764411028,49875,47088925,42505,5701,47083224,7370
103,m_3907635_se_18_1_20170611,0.027364941261346868,0.03155169550191853,0.027595585516358653,0.7660324302601095,1672142,45338834,1280915,202361,45136473,391227
104,m_3807557_nw_18_1_20170611,0.004986803897491654,0.05758870800018487,0.005129895040811567,0.15166500936410052,1466238,45615874,222377,2489021,43126853,1243861
105,m_3807628_nw_18_1_20170626,0.00809413552749228,0.008911584543395478,0.008114411385668718,0.764110786881654,502045,46931607,383618,39091,46892516,118427
106,m_3807653_se_18_1_20170730,0.0033241584953507494,0.0038795537534280574,0.0033271422476300336,0.7875380288444727,200177,47250899,157647,26442,47224457,42530
107,m_3907628_sw_18_1_20170611,0.006584559878934216,0.006990530920469817,0.006593733366648205,0.8255669915536519,373771,46508505,308573,19159,46489346,65198
108,m_3807560_sw_18_1_20170611,0.009406934603149848,0.009843099058820227,0.009442126164177889,0.7162268946583791,613765,46137771,439595,20585,46117186,174170
109,m_3807625_ne_18_1_20170626,0.02212491357455635,0.02426598231931334,0.022278132364449726,0.7628634601712377,1381238,46348130,1053696,104504,46243626,327542
110,m_3807535_se_18_1_20170611,0.017260022718719483,0.017860775316545254,0.017312635360200123,0.8502894657301744,946226,45696710,804566,28513,45668197,141660
111,m_3807740_ne_18_1_20170716,0.00106163694893253,0.0011925906950078981,0.0010618610765551907,0.8341562638408163,60961,47843991,50851,6280,47837711,10110
112,m_3807503_nw_18_1_20170609,0.03953729453799526,0.03959094219282493,0.03957921897664226,0.9739077863322149,1882324,44486868,1833210,2590,44484278,49114
113,m_3907633_sw_18_1_20170609,0.022243118059263114,0.02825867747712191,0.022631360770404972,0.5645720232023376,1850848,45417960,1044937,290817,45127143,805911
114,m_3807643_ne_18_1_20170626,0.008434881003901063,0.009324260056904664,0.00846439849501348,0.7074976396156324,566645,47004851,400900,42669,46962182,165745
115,m_3807664_ne_18_1_20170611,0.008845919281152527,0.034531754691663315,0.008914977258313202,0.5331369951068491,762290,46402646,406405,1222283,45180363,355885
116,m_3907542_ne_18_1_20170609,0.018736819609903983,0.018776641774302105,0.018753792229110205,0.953923706743523,906974,45270506,865184,1874,45268632,41790
117,m_3907633_ne_18_1_20170609,0.009791700049635189,0.012085458464492724,0.00987319773759017,0.5425925816914591,849385,46327311,460870,109282,46218029,388515
118,m_3907526_sw_18_1_20170609,0.015824000417696923,0.016085469855730818,0.015840538343364064,0.9381062438781098,777946,45353874,729796,12256,45341618,48150
119,m_3807563_nw_18_1_20170611,0.002798679501790312,0.0029696540038321234,0.002798954687597076,0.9660623208369011,134305,46233723,129747,7950,46225773,4558
120,m_3907622_nw_18_1_20170611,0.009512105951766622,0.010223747576189796,0.00953682792683205,0.7858406544656684,562413,45934627,441967,33407,45901220,120446
121,m_3807732_nw_18_1_20170716,0.004552453814795268,0.004896772690298863,0.004557590562849784,0.801554789029691,271934,47624306,217970,16567,47607739,53964
122,m_3907651_sw_18_1_20170716,0.043852811261749225,0.05799642130914451,0.045809323586840506,0.506601548514754,4024889,43170023,2039015,698121,42471902,1985874
123,m_3807609_ne_18_1_20170716,0.0373324144939632,0.04493516730120746,0.03803867294712517,0.6678515854182556,2636749,44908395,1760957,375492,44532903,875792
124,m_3907658_nw_18_1_20170716,0.03382503853522565,0.0437918472484305,0.034610353013934475,0.5985122387067282,2646930,44676970,1584220,488181,44188789,1062710
125,m_3807638_ne_18_1_20170730,0.0009979786102229926,0.00106762628600439,0.0009980527693275595,0.9307050166165532,50552,47097032,47049,3287,47093745,3503
126,m_3807555_nw_18_1_20170611,0.0013211561642724858,0.0013434699584116464,0.0013212272434648226,0.9608729784895588,63690,46258894,61198,1035,46257859,2492
127,m_3807613_se_18_1_20170730,0.002548731021421929,0.0030941888878420615,0.0025489583558915762,0.9661903074047818,124136,46959932,119939,25748,46934184,4197
128,m_3807602_se_18_1_20170716,0.013147483525721775,0.014724626359827518,0.01318167613084034,0.8352151497177946,745202,46670738,622404,75778,46594960,122798
129,m_3807620_ne_18_1_20170730,0.0035438919492866918,0.004328722011110239,0.003545419238176802,0.891619159251958,187690,47071062,167348,37222,47033840,20342
130,m_3907541_ne_18_1_20170609,0.02335069136264217,0.023688476376419777,0.02338038122740924,0.9484226747733154,1140792,45210184,1081953,16031,45194153,58839
131,m_3907646_sw_18_1_20170611,0.0024469581083778427,0.0030590092419163196,0.0024483412572081408,0.812432455491724,140648,46585592,114267,28669,46556923,26381
132,m_3807652_se_18_1_20170730,0.003253843412388884,0.0036099518504949207,0.0032559285478493036,0.8355495807756056,185223,47394913,154763,16999,47377914,30460
133,m_3807604_se_18_1_20170611,0.010670342286794312,0.015234051829442726,0.010720448368779414,0.6953980825343893,719700,46401316,500478,217366,46183950,219222
